Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,0.0,0,0.0
2001,Linear Regression,0.0,0,0.0
2001,"ARIMA(1,1,1)",0.0,0,0.0
2001,Exponential Smoothing,,0,
2001,Prophet,,0,
2002,Naïve Forecast,0.0,216,216.0
2002,Linear Regression,0.0,216,216.0
2002,"ARIMA(1,1,1)",,216,
2002,Exponential Smoothing,0.0,216,216.0
2002,Prophet,0.0,216,216.0
2003,Naïve Forecast,216.0,240,24.0
2003,Linear Regression,288.0,240,48.0
2003,"ARIMA(1,1,1)",215.99999999999966,240,24.00000000000034
2003,Exponential Smoothing,287.98174301883057,240,47.98174301883057
2003,Prophet,287.05719600068835,240,47.05719600068835
2004,Naïve Forecast,240.0,274,34.0
2004,Linear Regression,348.0,274,74.0
2004,"ARIMA(1,1,1)",221.9931883907898,274,52.00681160921019
2004,Exponential Smoothing,348.0000122302462,274,74.00001223024623
2004,Prophet,347.6339201983047,274,73.63392019830468
2005,Naïve Forecast,274.0,392,118.0
2005,Linear Regression,382.3999999999942,392,9.60000000000582
2005,"ARIMA(1,1,1)",306.37071483397665,392,85.62928516602335
2005,Exponential Smoothing,382.40000447025636,392,9.599995529743637
2005,Prophet,382.08430056350267,392,9.915699436497334
2006,Naïve Forecast,392.0,416,24.0
2006,Linear Regression,467.5999999999767,416,51.59999999997672
2006,"ARIMA(1,1,1)",451.6348331238405,416,35.63483312384051
2006,Exponential Smoothing,467.5999683861871,416,51.59996838618707
2006,Prophet,467.36728451473687,416,51.367284514736866
2007,Naïve Forecast,416.0,480,64.0
2007,Linear Regression,518.2857142857392,480,38.28571428573923
2007,"ARIMA(1,1,1)",468.9553118026063,480,11.044688197393725
2007,Exponential Smoothing,518.2860403768316,480,38.28604037683158
2007,Prophet,518.1739372153111,480,38.17393721531107
2008,Naïve Forecast,480.0,510,30.0
2008,Linear Regression,573.7857142857101,510,63.78571428571013
2008,"ARIMA(1,1,1)",536.702639267202,510,26.702639267202017
2008,Exponential Smoothing,573.7857275330516,510,63.78572753305161
2008,Prophet,573.8468000339835,510,63.84680003398353
2009,Naïve Forecast,510.0,438,72.0
2009,Linear Regression,616.888888888876,438,178.88888888887595
2009,"ARIMA(1,1,1)",563.7847339617825,438,125.78473396178254
2009,Exponential Smoothing,616.8888668210855,438,178.88886682108546
2009,Prophet,616.8098004421774,438,178.80980044217745
2010,Naïve Forecast,438.0,536,98.0
2010,Linear Regression,612.5333333333401,536,76.53333333334012
2010,"ARIMA(1,1,1)",448.5321712662219,536,87.4678287337781
2010,Exponential Smoothing,612.4581323046986,536,76.45813230469855
2010,Prophet,612.3284866552704,536,76.32848665527035
2011,Naïve Forecast,536.0,638,102.0
2011,Linear Regression,642.1454545454617,638,4.145454545461689
2011,"ARIMA(1,1,1)",578.4119996049661,638,59.58800039503387
2011,Exponential Smoothing,642.0229554360598,638,4.02295543605976
2011,Prophet,641.5207352543913,638,3.5207352543912975
2012,Naïve Forecast,638.0,673,35.0
2012,Linear Regression,694.7272727272793,673,21.727272727279342
2012,"ARIMA(1,1,1)",687.1779342061213,673,14.177934206121336
2012,Exponential Smoothing,694.1153108109386,673,21.11531081093858
2012,Prophet,694.94183188317,673,21.94183188317004
2013,Naïve Forecast,673.0,726,53.0
2013,Linear Regression,741.8461538461561,726,15.846153846156085
2013,"ARIMA(1,1,1)",721.433838347691,726,4.566161652309006
2013,Exponential Smoothing,741.7983949200226,726,15.798394920022588
2013,Prophet,741.9603543605215,726,15.960354360521478
2014,Naïve Forecast,726.0,778,52.0
2014,Linear Regression,790.4065934065875,778,12.40659340658749
2014,"ARIMA(1,1,1)",775.3364088531955,778,2.6635911468044924
2014,Exponential Smoothing,790.4439075149261,778,12.443907514926082
2014,Prophet,790.4437084358628,778,12.443708435862845
2015,Naïve Forecast,778.0,998,220.0
2015,Linear Regression,839.7333333333227,998,158.26666666667734
2015,"ARIMA(1,1,1)",827.9687810409661,998,170.03121895903394
2015,Exponential Smoothing,839.705494326003,998,158.29450567399704
2015,Prophet,839.6441730196325,998,158.3558269803675
2016,Naïve Forecast,998.0,970,28.0
2016,Linear Regression,931.625,970,38.375
2016,"ARIMA(1,1,1)",1058.62657430487,970,88.62657430487002
2016,Exponential Smoothing,932.8160405137842,970,37.18395948621583
2016,Prophet,931.5946176803789,970,38.40538231962114
