Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,0.0,0,0.0
2001,Linear Regression,0.0,0,0.0
2001,"ARIMA(1,1,1)",0.0,0,0.0
2001,Exponential Smoothing,,0,
2001,Prophet,,0,
2002,Naïve Forecast,0.0,0,0.0
2002,Linear Regression,0.0,0,0.0
2002,"ARIMA(1,1,1)",,0,
2002,Exponential Smoothing,0.0,0,0.0
2002,Prophet,0.0,0,0.0
2003,Naïve Forecast,0.0,0,0.0
2003,Linear Regression,0.0,0,0.0
2003,"ARIMA(1,1,1)",0.0,0,0.0
2003,Exponential Smoothing,0.0,0,0.0
2003,Prophet,0.0,0,0.0
2004,Naïve Forecast,0.0,0,0.0
2004,Linear Regression,0.0,0,0.0
2004,"ARIMA(1,1,1)",0.0,0,0.0
2004,Exponential Smoothing,0.0,0,0.0
2004,Prophet,0.0,0,0.0
2005,Naïve Forecast,0.0,0,0.0
2005,Linear Regression,0.0,0,0.0
2005,"ARIMA(1,1,1)",0.0,0,0.0
2005,Exponential Smoothing,0.0,0,0.0
2005,Prophet,0.0,0,0.0
2006,Naïve Forecast,0.0,0,0.0
2006,Linear Regression,0.0,0,0.0
2006,"ARIMA(1,1,1)",0.0,0,0.0
2006,Exponential Smoothing,0.0,0,0.0
2006,Prophet,0.0,0,0.0
2007,Naïve Forecast,0.0,0,0.0
2007,Linear Regression,0.0,0,0.0
2007,"ARIMA(1,1,1)",0.0,0,0.0
2007,Exponential Smoothing,0.0,0,0.0
2007,Prophet,0.0,0,0.0
2008,Naïve Forecast,0.0,0,0.0
2008,Linear Regression,0.0,0,0.0
2008,"ARIMA(1,1,1)",0.0,0,0.0
2008,Exponential Smoothing,0.0,0,0.0
2008,Prophet,0.0,0,0.0
2009,Naïve Forecast,0.0,0,0.0
2009,Linear Regression,0.0,0,0.0
2009,"ARIMA(1,1,1)",0.0,0,0.0
2009,Exponential Smoothing,0.0,0,0.0
2009,Prophet,0.0,0,0.0
2010,Naïve Forecast,0.0,0,0.0
2010,Linear Regression,0.0,0,0.0
2010,"ARIMA(1,1,1)",0.0,0,0.0
2010,Exponential Smoothing,0.0,0,0.0
2010,Prophet,0.0,0,0.0
2011,Naïve Forecast,0.0,0,0.0
2011,Linear Regression,0.0,0,0.0
2011,"ARIMA(1,1,1)",0.0,0,0.0
2011,Exponential Smoothing,0.0,0,0.0
2011,Prophet,0.0,0,0.0
2012,Naïve Forecast,0.0,0,0.0
2012,Linear Regression,0.0,0,0.0
2012,"ARIMA(1,1,1)",0.0,0,0.0
2012,Exponential Smoothing,0.0,0,0.0
2012,Prophet,0.0,0,0.0
2013,Naïve Forecast,0.0,0,0.0
2013,Linear Regression,0.0,0,0.0
2013,"ARIMA(1,1,1)",0.0,0,0.0
2013,Exponential Smoothing,0.0,0,0.0
2013,Prophet,0.0,0,0.0
2014,Naïve Forecast,0.0,0,0.0
2014,Linear Regression,0.0,0,0.0
2014,"ARIMA(1,1,1)",0.0,0,0.0
2014,Exponential Smoothing,0.0,0,0.0
2014,Prophet,0.0,0,0.0
2015,Naïve Forecast,0.0,410,410.0
2015,Linear Regression,0.0,410,410.0
2015,"ARIMA(1,1,1)",0.0,410,410.0
2015,Exponential Smoothing,0.0,410,410.0
2015,Prophet,0.0,410,410.0
2016,Naïve Forecast,410.0,352,58.0
2016,Linear Regression,102.5,352,249.5
2016,"ARIMA(1,1,1)",410.0,352,58.0
2016,Exponential Smoothing,110.55345726133253,352,241.44654273866746
2016,Prophet,102.39863801818976,352,249.60136198181024
2017,Naïve Forecast,352.0,270,82.0
2017,Linear Regression,170.25,270,99.75
2017,"ARIMA(1,1,1)",355.2845354430931,270,85.28453544309309
2017,Exponential Smoothing,443.7559220221834,270,173.75592202218343
2017,Prophet,170.09286320245624,270,99.90713679754376
2018,Naïve Forecast,270.0,299,29.0
2018,Linear Regression,206.35294117646845,299,92.64705882353155
2018,"ARIMA(1,1,1)",250.41192946721335,299,48.588070532786645
2018,Exponential Smoothing,315.4409299453478,299,16.44092994534782
2018,Prophet,206.02544027602266,299,92.97455972397734
2019,Naïve Forecast,299.0,325,26.0
2019,Linear Regression,241.54385964912217,325,83.45614035087783
2019,"ARIMA(1,1,1)",290.3306967422694,325,34.669303257730576
2019,Exponential Smoothing,318.40561152897726,325,6.594388471022739
2019,Prophet,241.24274026589728,325,83.75725973410272
