Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,219.0,212,7.0
2001,Linear Regression,219.0,212,7.0
2001,"ARIMA(1,1,1)",219.0,212,7.0
2001,Exponential Smoothing,,212,
2001,Prophet,,212,
2002,Naïve Forecast,212.0,187,25.0
2002,Linear Regression,205.0,187,18.0
2002,"ARIMA(1,1,1)",,187,
2002,Exponential Smoothing,204.9998450046886,187,17.99984500468861
2002,Prophet,205.00000014,187,18.000000139999997
2003,Naïve Forecast,187.0,192,5.0
2003,Linear Regression,174.0,192,18.0
2003,"ARIMA(1,1,1)",171.98065716228126,192,20.01934283771874
2003,Exponential Smoothing,174.00001713832637,192,17.99998286167363
2003,Prophet,161.99991735,192,30.000082649999996
2004,Naïve Forecast,192.0,187,5.0
2004,Linear Regression,176.0,187,11.0
2004,"ARIMA(1,1,1)",194.4468371601838,187,7.446837160183804
2004,Exponential Smoothing,175.9999995688568,187,11.000000431143206
2004,Prophet,175.98434086351517,187,11.015659136484828
2005,Naïve Forecast,187.0,136,51.0
2005,Linear Regression,174.20000000000073,136,38.20000000000073
2005,"ARIMA(1,1,1)",183.89085234488226,136,47.89085234488226
2005,Exponential Smoothing,174.20000043567217,136,38.200000435672166
2005,Prophet,174.2053907253713,136,38.2053907253713
2006,Naïve Forecast,136.0,135,1.0
2006,Linear Regression,140.33333333333212,135,5.333333333332121
2006,"ARIMA(1,1,1)",135.99995316446058,135,0.9999531644605781
2006,Exponential Smoothing,140.33308851961044,135,5.333088519610442
2006,Prophet,140.34523771281113,135,5.345237712811127
2007,Naïve Forecast,135.0,136,1.0
2007,Linear Regression,123.42857142857247,136,12.571428571427532
2007,"ARIMA(1,1,1)",144.85617514012753,136,8.856175140127533
2007,Exponential Smoothing,123.4285875504932,136,12.571412449506795
2007,Prophet,123.45936380573319,136,12.54063619426681
2008,Naïve Forecast,136.0,142,6.0
2008,Linear Regression,115.28571428571377,142,26.714285714286234
2008,"ARIMA(1,1,1)",129.02036353578887,142,12.979636464211126
2008,Exponential Smoothing,115.2859423239801,142,26.714057676019905
2008,Prophet,115.2728506793169,142,26.727149320683097
2009,Naïve Forecast,142.0,142,0.0
2009,Linear Regression,113.77777777777737,142,28.222222222222626
2009,"ARIMA(1,1,1)",148.29177355841256,142,6.291773558412558
2009,Exponential Smoothing,113.77780595559005,142,28.222194044409946
2009,Prophet,113.79398638843833,142,28.206013611561673
2010,Naïve Forecast,142.0,142,0.0
2010,Linear Regression,113.46666666666715,142,28.53333333333285
2010,"ARIMA(1,1,1)",136.875951874404,142,5.124048125596005
2010,Exponential Smoothing,113.4665935558933,142,28.533406444106703
2010,Prophet,113.56907322147289,142,28.43092677852711
2011,Naïve Forecast,142.0,138,4.0
2011,Linear Regression,113.78181818181838,138,24.21818181818162
2011,"ARIMA(1,1,1)",146.39409549269098,138,8.39409549269098
2011,Exponential Smoothing,113.78181868977522,138,24.21818131022478
2011,Prophet,113.79943998693138,138,24.200560013068625
2012,Naïve Forecast,138.0,136,2.0
2012,Linear Regression,113.0909090909081,136,22.9090909090919
2012,"ARIMA(1,1,1)",134.13580687616525,136,1.8641931238347524
2012,Exponential Smoothing,129.89403980560894,136,6.105960194391059
2012,Prophet,113.09498265764232,136,22.90501734235768
2013,Naïve Forecast,136.0,110,26.0
2013,Linear Regression,112.30769230769329,110,2.307692307693287
2013,"ARIMA(1,1,1)",139.0103456756092,110,29.010345675609187
2013,Exponential Smoothing,128.33788081512353,110,18.337880815123526
2013,Prophet,112.5973776500336,110,2.597377650033593
2014,Naïve Forecast,110.0,111,1.0
2014,Linear Regression,104.57142857142935,111,6.428571428570649
2014,"ARIMA(1,1,1)",105.61225007732583,111,5.387749922674175
2014,Exponential Smoothing,105.08846765820785,111,5.911532341792153
2014,Prophet,104.80744965530101,111,6.1925503446989865
2015,Naïve Forecast,111.0,568,457.0
2015,Linear Regression,99.14285714285688,568,468.8571428571431
2015,"ARIMA(1,1,1)",113.37953573790615,568,454.62046426209383
2015,Exponential Smoothing,102.10540858305512,568,465.8945914169449
2015,Prophet,99.12944302627619,568,468.8705569737238
2016,Naïve Forecast,568.0,590,22.0
2016,Linear Regression,209.375,590,380.625
2016,"ARIMA(1,1,1)",951.5537960486091,590,361.5537960486091
2016,Exponential Smoothing,334.648818376808,590,255.35118162319202
2016,Prophet,209.37900934272184,590,380.6209906572782
2017,Naïve Forecast,590.0,557,33.0
2017,Linear Regression,302.2941176470558,557,254.70588235294417
2017,"ARIMA(1,1,1)",560.5297948250148,557,3.5297948250148465
