Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,0.0,0,0.0
2001,Linear Regression,0.0,0,0.0
2001,"ARIMA(1,1,1)",0.0,0,0.0
2001,Exponential Smoothing,,0,
2001,Prophet,,0,
2002,Naïve Forecast,0.0,0,0.0
2002,Linear Regression,0.0,0,0.0
2002,"ARIMA(1,1,1)",,0,
2002,Exponential Smoothing,0.0,0,0.0
2002,Prophet,0.0,0,0.0
2003,Naïve Forecast,0.0,0,0.0
2003,Linear Regression,0.0,0,0.0
2003,"ARIMA(1,1,1)",0.0,0,0.0
2003,Exponential Smoothing,0.0,0,0.0
2003,Prophet,0.0,0,0.0
2004,Naïve Forecast,0.0,0,0.0
2004,Linear Regression,0.0,0,0.0
2004,"ARIMA(1,1,1)",0.0,0,0.0
2004,Exponential Smoothing,0.0,0,0.0
2004,Prophet,0.0,0,0.0
2005,Naïve Forecast,0.0,0,0.0
2005,Linear Regression,0.0,0,0.0
2005,"ARIMA(1,1,1)",0.0,0,0.0
2005,Exponential Smoothing,0.0,0,0.0
2005,Prophet,0.0,0,0.0
2006,Naïve Forecast,0.0,2,2.0
2006,Linear Regression,0.0,2,2.0
2006,"ARIMA(1,1,1)",0.0,2,2.0
2006,Exponential Smoothing,0.0,2,2.0
2006,Prophet,0.0,2,2.0
2007,Naïve Forecast,2.0,0,2.0
2007,Linear Regression,1.1428571428571672,0,1.1428571428571672
2007,"ARIMA(1,1,1)",2.0,0,2.0
2007,Exponential Smoothing,1.1428281420972632,0,1.1428281420972632
2007,Prophet,1.138971314387069,0,1.138971314387069
2008,Naïve Forecast,0.0,472,472.0
2008,Linear Regression,0.7857142857142776,472,471.2142857142857
2008,"ARIMA(1,1,1)",0.9761535013115187,472,471.0238464986885
2008,Exponential Smoothing,0.7857255356543739,472,471.21427446434564
2008,Prophet,0.7856120824453239,472,471.2143879175547
2009,Naïve Forecast,472.0,468,4.0
2009,Linear Regression,210.33333333332848,468,257.6666666666715
2009,"ARIMA(1,1,1)",473.08543831173233,468,5.085438311732332
2009,Exponential Smoothing,197.49966838463388,468,270.5003316153661
2009,Prophet,210.1240750210116,468,257.8759249789884
2010,Naïve Forecast,468.0,494,26.0
2010,Linear Regression,344.93333333331975,494,149.06666666668025
2010,"ARIMA(1,1,1)",471.0762451447901,494,22.923754855209893
2010,Exponential Smoothing,344.93346867629464,494,149.06653132370536
2010,Prophet,339.40718674083297,494,154.59281325916703
2011,Naïve Forecast,494.0,554,60.0
2011,Linear Regression,444.72727272727934,554,109.27272727272066
2011,"ARIMA(1,1,1)",486.09138407341754,554,67.90861592658246
2011,Exponential Smoothing,548.7774520879013,554,5.222547912098662
2011,Prophet,446.5181882465784,554,107.4818117534216
2012,Naïve Forecast,554.0,572,18.0
2012,Linear Regression,533.5151515151374,572,38.484848484862596
2012,"ARIMA(1,1,1)",548.5997006725438,572,23.400299327456196
2012,Exponential Smoothing,615.1016522411853,572,43.10165224118532
2012,Prophet,532.733832501878,572,39.266167498121945
2013,Naïve Forecast,572.0,608,36.0
2013,Linear Regression,601.923076923078,608,6.0769230769219575
2013,"ARIMA(1,1,1)",571.9531333503413,608,36.04686664965868
2013,Exponential Smoothing,637.8924738482042,608,29.89247384820419
2013,Prophet,601.2345828203646,608,6.765417179635392
2014,Naïve Forecast,608.0,605,3.0
2014,Linear Regression,661.4945054944983,605,56.4945054944983
2014,"ARIMA(1,1,1)",627.2567822560983,605,22.25678225609829
2014,Exponential Smoothing,663.5168524505309,605,58.516852450530905
2014,Prophet,660.9442321100628,605,55.944232110062785
2015,Naïve Forecast,605.0,639,34.0
2015,Linear Regression,704.4380952381034,639,65.43809523810341
2015,"ARIMA(1,1,1)",622.2159871154994,639,16.784012884500612
2015,Exponential Smoothing,657.9103617169667,639,18.91036171696669
2015,Prophet,704.0050274502204,639,65.00502745022038
2016,Naïve Forecast,639.0,673,34.0
2016,Linear Regression,744.6750000000029,673,71.67500000000291
2016,"ARIMA(1,1,1)",658.8990820866717,673,14.100917913328317
2016,Exponential Smoothing,688.7659520731868,673,15.765952073186781
2016,Prophet,744.7357479603289,673,71.73574796032892
2017,Naïve Forecast,673.0,725,52.0
2017,Linear Regression,782.9632352941117,725,57.963235294111655
2017,"ARIMA(1,1,1)",694.9513318878206,725,30.04866811217937
2017,Exponential Smoothing,721.6454687614109,725,3.354531238589061
