Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,511.0,474,37.0
2001,Linear Regression,511.0,474,37.0
2001,"ARIMA(1,1,1)",511.0,474,37.0
2001,Exponential Smoothing,,474,
2001,Prophet,,474,
2002,Naïve Forecast,474.0,524,50.0
2002,Linear Regression,437.0,524,87.0
2002,"ARIMA(1,1,1)",,524,
2002,Exponential Smoothing,437.0001149937621,524,86.99988500623789
2002,Prophet,437.000046361788,524,86.99995363821199
2003,Naïve Forecast,524.0,571,47.0
2003,Linear Regression,516.0,571,55.0
2003,"ARIMA(1,1,1)",481.29729724943485,571,89.70270275056515
2003,Exponential Smoothing,516.0000713965446,571,54.99992860345537
2003,Prophet,515.9074223680445,571,55.092577631955464
2004,Naïve Forecast,571.0,586,15.0
2004,Linear Regression,577.5,586,8.5
2004,"ARIMA(1,1,1)",567.9428423820669,586,18.057157617933058
2004,Exponential Smoothing,577.5001476638201,586,8.499852336179856
2004,Prophet,577.5922375360861,586,8.407762463913855
2005,Naïve Forecast,586.0,650,64.0
2005,Linear Regression,607.2999999999956,650,42.700000000004366
2005,"ARIMA(1,1,1)",594.1345912592957,650,55.86540874070431
2005,Exponential Smoothing,607.299952595196,650,42.70004740480397
2005,Prophet,607.2450067659886,650,42.75499323401141
2006,Naïve Forecast,650.0,676,26.0
2006,Linear Regression,660.4666666666672,676,15.533333333332848
2006,"ARIMA(1,1,1)",705.3267516734854,676,29.326751673485433
2006,Exponential Smoothing,660.4666726397634,676,15.533327360236626
2006,Prophet,660.462295677152,676,15.537704322847958
2007,Naïve Forecast,676.0,685,9.0
2007,Linear Regression,700.1428571428551,685,15.142857142855064
2007,"ARIMA(1,1,1)",666.4730214519718,685,18.526978548028183
2007,Exponential Smoothing,700.1428572099957,685,15.142857209995668
2007,Prophet,700.1413539219811,685,15.141353921981135
2008,Naïve Forecast,685.0,759,74.0
2008,Linear Regression,725.0357142857174,759,33.964285714282596
2008,"ARIMA(1,1,1)",695.4580550729131,759,63.54194492708689
2008,Exponential Smoothing,725.0357123871909,759,33.96428761280913
2008,Prophet,725.0335267873604,759,33.966473212639585
2009,Naïve Forecast,759.0,760,1.0
2009,Linear Regression,771.333333333343,760,11.333333333343035
2009,"ARIMA(1,1,1)",801.0469587520827,760,41.04695875208267
2009,Exponential Smoothing,771.3332632880067,760,11.33326328800672
2009,Prophet,771.3601618977176,760,11.360161897717603
2010,Naïve Forecast,760.0,730,30.0
2010,Linear Regression,800.2666666666555,730,70.26666666665551
2010,"ARIMA(1,1,1)",782.8432872661373,730,52.84328726613728
2010,Exponential Smoothing,800.266527558317,730,70.26652755831697
2010,Prophet,800.2729695940615,730,70.27296959406146
2011,Naïve Forecast,730.0,796,66.0
2011,Linear Regression,807.5636363636295,796,11.563636363629485
2011,"ARIMA(1,1,1)",731.650551568497,796,64.34944843150299
2011,Exponential Smoothing,807.5636445283275,796,11.563644528327472
2011,Prophet,807.2013753984363,796,11.201375398436312
2012,Naïve Forecast,796.0,766,30.0
2012,Linear Regression,833.3636363636324,766,67.3636363636324
2012,"ARIMA(1,1,1)",816.88703644203,766,50.88703644202997
2012,Exponential Smoothing,833.367755855505,766,67.36775585550504
2012,Prophet,832.7697237173334,766,66.76972371733336
2013,Naïve Forecast,766.0,798,32.0
2013,Linear Regression,841.8461538461561,798,43.846153846156085
2013,"ARIMA(1,1,1)",781.1250746197148,798,16.874925380285163
2013,Exponential Smoothing,841.8480980277436,798,43.84809802774362
2013,Prophet,841.7510753725579,798,43.75107537255792
2014,Naïve Forecast,798.0,771,27.0
2014,Linear Regression,856.3076923076951,771,85.3076923076951
2014,"ARIMA(1,1,1)",796.5099104516412,771,25.50991045164119
2014,Exponential Smoothing,856.3077404554671,771,85.30774045546707
2014,Prophet,856.1032573516189,771,85.10325735161894
2015,Naïve Forecast,771.0,862,91.0
2015,Linear Regression,859.2952380952411,862,2.704761904758925
2015,"ARIMA(1,1,1)",765.2388792603768,862,96.76112073962315
2015,Exponential Smoothing,788.7667931530557,862,73.23320684694431
2015,Prophet,828.3693140601503,862,33.63068593984974
2016,Naïve Forecast,862.0,888,26.0
2016,Linear Regression,883.5750000000044,888,4.424999999995634
2016,"ARIMA(1,1,1)",880.4654306785757,888,7.534569321424328
2016,Exponential Smoothing,866.3190866624666,888,21.68091333753341
2016,Prophet,866.2256340584847,888,21.77436594151527
2017,Naïve Forecast,888.0,907,19.0
2017,Linear Regression,908.2794117647063,907,1.2794117647063104
