Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,0.0,0,0.0
2001,Linear Regression,0.0,0,0.0
2001,"ARIMA(1,1,1)",0.0,0,0.0
2001,Exponential Smoothing,,0,
2001,Prophet,,0,
2002,Naïve Forecast,0.0,0,0.0
2002,Linear Regression,0.0,0,0.0
2002,"ARIMA(1,1,1)",,0,
2002,Exponential Smoothing,0.0,0,0.0
2002,Prophet,0.0,0,0.0
2003,Naïve Forecast,0.0,0,0.0
2003,Linear Regression,0.0,0,0.0
2003,"ARIMA(1,1,1)",0.0,0,0.0
2003,Exponential Smoothing,0.0,0,0.0
2003,Prophet,0.0,0,0.0
2004,Naïve Forecast,0.0,0,0.0
2004,Linear Regression,0.0,0,0.0
2004,"ARIMA(1,1,1)",0.0,0,0.0
2004,Exponential Smoothing,0.0,0,0.0
2004,Prophet,0.0,0,0.0
2005,Naïve Forecast,0.0,0,0.0
2005,Linear Regression,0.0,0,0.0
2005,"ARIMA(1,1,1)",0.0,0,0.0
2005,Exponential Smoothing,0.0,0,0.0
2005,Prophet,0.0,0,0.0
2006,Naïve Forecast,0.0,0,0.0
2006,Linear Regression,0.0,0,0.0
2006,"ARIMA(1,1,1)",0.0,0,0.0
2006,Exponential Smoothing,0.0,0,0.0
2006,Prophet,0.0,0,0.0
2007,Naïve Forecast,0.0,0,0.0
2007,Linear Regression,0.0,0,0.0
2007,"ARIMA(1,1,1)",0.0,0,0.0
2007,Exponential Smoothing,0.0,0,0.0
2007,Prophet,0.0,0,0.0
2008,Naïve Forecast,0.0,0,0.0
2008,Linear Regression,0.0,0,0.0
2008,"ARIMA(1,1,1)",0.0,0,0.0
2008,Exponential Smoothing,0.0,0,0.0
2008,Prophet,0.0,0,0.0
2009,Naïve Forecast,0.0,23,23.0
2009,Linear Regression,0.0,23,23.0
2009,"ARIMA(1,1,1)",0.0,23,23.0
2009,Exponential Smoothing,0.0,23,23.0
2009,Prophet,0.0,23,23.0
2010,Naïve Forecast,23.0,240,217.0
2010,Linear Regression,9.200000000000273,240,230.79999999999973
2010,"ARIMA(1,1,1)",23.0,240,217.0
2010,Exponential Smoothing,9.199934412971102,240,230.8000655870289
2010,Prophet,9.17057128929762,240,230.8294287107024
2011,Naïve Forecast,240.0,240,0.0
2011,Linear Regression,94.38181818182056,240,145.61818181817944
2011,"ARIMA(1,1,1)",462.0185682824634,240,222.01856828246338
2011,Exponential Smoothing,456.9999916702509,240,216.9999916702509
2011,Prophet,94.12676787673804,240,145.87323212326197
2012,Naïve Forecast,240.0,240,0.0
2012,Linear Regression,154.66666666666424,240,85.33333333333576
2012,"ARIMA(1,1,1)",231.27115495874637,240,8.728845041253635
2012,Exponential Smoothing,262.3581275754339,240,22.35812757543391
2012,Prophet,154.2795167281901,240,85.72048327180991
2013,Naïve Forecast,240.0,235,5.0
2013,Linear Regression,198.26923076922685,235,36.73076923077315
2013,"ARIMA(1,1,1)",240.20486247243696,235,5.204862472436957
2013,Exponential Smoothing,260.30786205784153,235,25.307862057841533
2013,Prophet,197.96210629410234,235,37.03789370589766
2014,Naïve Forecast,235.0,290,55.0
2014,Linear Regression,228.92307692307804,290,61.07692307692196
2014,"ARIMA(1,1,1)",234.50147900265725,290,55.49852099734275
2014,Exponential Smoothing,253.082514822274,290,36.91748517772601
2014,Prophet,228.43638401209014,290,61.563615987909856
2015,Naïve Forecast,290.0,380,90.0
2015,Linear Regression,266.4190476190488,380,113.5809523809512
2015,"ARIMA(1,1,1)",299.76929433539175,380,80.23070566460825
2015,Exponential Smoothing,310.260491364142,380,69.73950863585799
2015,Prophet,267.3796753612744,380,112.6203246387256
2016,Naïve Forecast,380.0,385,5.0
2016,Linear Regression,317.5500000000029,385,67.44999999999709
2016,"ARIMA(1,1,1)",401.9180837776054,385,16.918083777605375
2016,Exponential Smoothing,404.94580415808133,385,19.94580415808133
2016,Prophet,317.28585761110924,385,67.71414238889076
2017,Naïve Forecast,385.0,355,30.0
2017,Linear Regression,358.66176470588834,355,3.661764705888345
2017,"ARIMA(1,1,1)",402.7435326803749,355,47.743532680374926
2017,Exponential Smoothing,409.12698479563244,355,54.12698479563244
2017,Prophet,358.48059903743643,355,3.480599037436434
2018,Naïve Forecast,355.0,374,19.0
2018,Linear Regression,384.4117647058738,374,10.411764705873793
2018,"ARIMA(1,1,1)",350.33029426354466,374,23.66970573645534
