Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,921.0,885,36.0
2001,Linear Regression,921.0,885,36.0
2001,"ARIMA(1,1,1)",921.0,885,36.0
2001,Exponential Smoothing,,885,
2001,Prophet,,885,
2002,Naïve Forecast,885.0,843,42.0
2002,Linear Regression,849.0,843,6.0
2002,"ARIMA(1,1,1)",,843,
2002,Exponential Smoothing,849.0001963828439,843,6.00019638284391
2002,Prophet,848.99998865832,843,5.999988658320035
2003,Naïve Forecast,843.0,830,13.0
2003,Linear Regression,805.0,830,25.0
2003,"ARIMA(1,1,1)",798.7688439581198,830,31.23115604188024
2003,Exponential Smoothing,805.0000180386393,830,24.99998196136073
2003,Prophet,801.00000885,830,28.999991150000028
2004,Naïve Forecast,830.0,840,10.0
2004,Linear Regression,791.0,840,49.0
2004,"ARIMA(1,1,1)",834.5273694355411,840,5.472630564458882
2004,Exponential Smoothing,790.9999730522492,840,49.000026947750825
2004,Prophet,816.9641423739725,840,23.03585762602745
2005,Naïve Forecast,840.0,831,9.0
2005,Linear Regression,798.7000000000044,831,32.299999999995634
2005,"ARIMA(1,1,1)",848.7418134611917,831,17.74181346119167
2005,Exponential Smoothing,798.7001809668664,831,32.299819033133645
2005,Prophet,849.9723032386037,831,18.972303238603672
2006,Naïve Forecast,831.0,930,99.0
2006,Linear Regression,798.5333333333328,930,131.46666666666715
2006,"ARIMA(1,1,1)",838.7866186498646,930,91.21338135013536
2006,Exponential Smoothing,812.999967947396,930,117.00003205260396
2006,Prophet,833.4518159699913,930,96.54818403000866
2007,Naïve Forecast,930.0,940,10.0
2007,Linear Regression,856.5714285714284,940,83.42857142857156
2007,"ARIMA(1,1,1)",950.1713799662492,940,10.17137996624922
2007,Exponential Smoothing,981.0297938538225,940,41.029793853822525
2007,Prophet,856.6350522412247,940,83.36494775877532
2008,Naïve Forecast,940.0,969,29.0
2008,Linear Regression,895.2857142857138,969,73.71428571428623
2008,"ARIMA(1,1,1)",943.9145243933832,969,25.085475606616797
2008,Exponential Smoothing,989.502805747536,969,20.502805747535945
2008,Prophet,894.668831777231,969,74.33116822276895
2009,Naïve Forecast,969.0,902,67.0
2009,Linear Regression,932.0000000000036,902,30.000000000003638
2009,"ARIMA(1,1,1)",977.1717459698723,902,75.17174596987229
2009,Exponential Smoothing,1006.1436950695012,902,104.14369506950118
2009,Prophet,932.0057378763972,902,30.005737876397234
2010,Naïve Forecast,902.0,850,52.0
2010,Linear Regression,928.8666666666686,850,78.8666666666686
2010,"ARIMA(1,1,1)",900.1197744019669,850,50.11977440196688
2010,Exponential Smoothing,928.8593717895255,850,78.85937178952554
2010,Prophet,928.7222721758911,850,78.72227217589113
2011,Naïve Forecast,850.0,901,51.0
2011,Linear Regression,907.4181818181814,901,6.418181818181438
2011,"ARIMA(1,1,1)",838.9491269696691,901,62.05087303033088
2011,Exponential Smoothing,907.418274729649,901,6.418274729649056
2011,Prophet,907.3654019428084,901,6.365401942808376
2012,Naïve Forecast,901.0,892,9.0
2012,Linear Regression,908.924242424242,892,16.92424242424204
2012,"ARIMA(1,1,1)",897.2266636898722,892,5.226663689872225
2012,Exponential Smoothing,908.9239851417365,892,16.923985141736466
2012,Prophet,909.1218774800484,892,17.121877480048397
2013,Naïve Forecast,892.0,889,3.0
