Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,219.0,214,5.0
2001,Linear Regression,219.0,214,5.0
2001,"ARIMA(1,1,1)",219.0,214,5.0
2001,Exponential Smoothing,,214,
2001,Prophet,,214,
2002,Naïve Forecast,214.0,190,24.0
2002,Linear Regression,209.0,190,19.0
2002,"ARIMA(1,1,1)",,190,
2002,Exponential Smoothing,208.999997058955,190,18.99999705895499
2002,Prophet,208.999983456,190,18.999983455999995
2003,Naïve Forecast,190.0,196,6.0
2003,Linear Regression,178.66666666666788,196,17.33333333333212
2003,"ARIMA(1,1,1)",179.09397508727918,196,16.906024912720824
2003,Exponential Smoothing,178.66660278654436,196,17.33339721345564
2003,Prophet,178.671259370391,196,17.328740629609
2004,Naïve Forecast,196.0,187,9.0
2004,Linear Regression,181.5,187,5.5
2004,"ARIMA(1,1,1)",197.51273587346776,187,10.512735873467761
2004,Exponential Smoothing,181.5000858640745,187,5.499914135925508
2004,Prophet,181.4529003482653,187,5.5470996517346975
2005,Naïve Forecast,187.0,139,48.0
2005,Linear Regression,176.59999999999854,139,37.599999999998545
2005,"ARIMA(1,1,1)",191.27782675482555,139,52.277826754825554
2005,Exponential Smoothing,176.60043913475135,139,37.600439134751355
2005,Prophet,176.61061704286934,139,37.610617042869336
2006,Naïve Forecast,139.0,165,26.0
2006,Linear Regression,143.33333333333212,165,21.66666666666788
2006,"ARIMA(1,1,1)",122.31169069093404,165,42.68830930906596
2006,Exponential Smoothing,143.333332796398,165,21.666667203602003
2006,Prophet,143.3522143352797,165,21.64778566472029
2007,Naïve Forecast,165.0,166,1.0
2007,Linear Regression,142.1428571428587,166,23.857142857141298
2007,"ARIMA(1,1,1)",159.75807401767818,166,6.241925982321817
2007,Exponential Smoothing,142.1428550030458,166,23.85714499695419
2007,Prophet,142.1073743067492,166,23.892625693250807
2008,Naïve Forecast,166.0,266,100.0
2008,Linear Regression,142.82142857142753,266,123.17857142857247
2008,"ARIMA(1,1,1)",165.0271952566109,266,100.9728047433891
2008,Exponential Smoothing,142.8214374752532,266,123.17856252474681
2008,Prophet,142.81842355656588,266,123.18157644343412
2009,Naïve Forecast,266.0,258,8.0
2009,Linear Regression,188.30555555555566,258,69.69444444444434
2009,"ARIMA(1,1,1)",241.44733537285498,258,16.55266462714502
2009,Exponential Smoothing,188.2248627717462,258,69.77513722825381
2009,Prophet,188.76417325936524,258,69.23582674063476
2010,Naïve Forecast,258.0,284,26.0
2010,Linear Regression,215.1333333333332,284,68.86666666666679
2010,"ARIMA(1,1,1)",269.9463924646404,284,14.053607535359617
2010,Exponential Smoothing,215.13971880602267,284,68.86028119397733
2010,Prophet,215.16195320263466,284,68.83804679736534
2011,Naïve Forecast,284.0,315,31.0
2011,Linear Regression,242.9272727272728,315,72.0727272727272
2011,"ARIMA(1,1,1)",269.9968596150035,315,45.00314038499653
2011,Exponential Smoothing,288.4616679810546,315,26.538332018945425
2011,Prophet,242.98343742330135,315,72.01656257669865
2012,Naïve Forecast,315.0,339,24.0
2012,Linear Regression,272.8333333333321,339,66.16666666666788
2012,"ARIMA(1,1,1)",315.0663605936374,339,23.9336394063626
2012,Exponential Smoothing,321.79861166824196,339,17.20138833175804
2012,Prophet,272.86435805282275,339,66.13564194717725
2013,Naïve Forecast,339.0,335,4.0
2013,Linear Regression,301.84615384615245,335,33.15384615384755
2013,"ARIMA(1,1,1)",334.74891664872314,335,0.2510833512768613
2013,Exponential Smoothing,348.074247971943,335,13.07424797194301
2013,Prophet,301.8026839598926,335,33.19731604010741
