Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,350.0,347,3.0
2001,Linear Regression,350.0,347,3.0
2001,"ARIMA(1,1,1)",350.0,347,3.0
2001,Exponential Smoothing,,347,
2001,Prophet,,347,
2002,Naïve Forecast,347.0,410,63.0
2002,Linear Regression,344.0,410,66.0
2002,"ARIMA(1,1,1)",,410,
2002,Exponential Smoothing,344.0006280466888,410,65.9993719533112
2002,Prophet,343.99999760000003,410,66.00000239999997
2003,Naïve Forecast,410.0,435,25.0
2003,Linear Regression,429.0,435,6.0
2003,"ARIMA(1,1,1)",404.9636576107028,435,30.036342389297204
2003,Exponential Smoothing,428.99999982886743,435,6.0000001711325694
2003,Prophet,429.1859499384397,435,5.814050061560295
2004,Naïve Forecast,435.0,524,89.0
2004,Linear Regression,465.0,524,59.0
2004,"ARIMA(1,1,1)",426.7323619726529,524,97.26763802734712
2004,Exponential Smoothing,465.00011245764705,524,58.99988754235295
2004,Prophet,465.1080621056949,524,58.8919378943051
2005,Naïve Forecast,524.0,534,10.0
2005,Linear Regression,544.0,534,10.0
2005,"ARIMA(1,1,1)",564.7009472869607,534,30.70094728696074
2005,Exponential Smoothing,544.0000193033992,534,10.000019303399199
2005,Prophet,544.0383017560337,534,10.038301756033661
2006,Naïve Forecast,534.0,591,57.0
2006,Linear Regression,580.9333333333343,591,10.066666666665697
2006,"ARIMA(1,1,1)",564.1365135332973,591,26.86348646670274
2006,Exponential Smoothing,580.933602671588,591,10.066397328411995
2006,Prophet,580.9020337562964,591,10.097966243703581
2007,Naïve Forecast,591.0,615,24.0
2007,Linear Regression,628.8571428571449,615,13.857142857144936
2007,"ARIMA(1,1,1)",626.1085071424474,615,11.108507142447365
2007,Exponential Smoothing,628.857177804448,615,13.857177804448042
2007,Prophet,628.8265234801111,615,13.826523480111064
2008,Naïve Forecast,615.0,768,153.0
2008,Linear Regression,665.1785714285652,768,102.82142857143481
2008,"ARIMA(1,1,1)",648.8896944143399,768,119.11030558566006
2008,Exponential Smoothing,665.1786738199294,768,102.82132618007063
2008,Prophet,665.232405906574,768,102.76759409342606
2009,Naïve Forecast,768.0,674,94.0
2009,Linear Regression,752.972222222219,674,78.97222222221899
2009,"ARIMA(1,1,1)",818.342729492553,674,144.34272949255296
2009,Exponential Smoothing,752.9722269280696,674,78.97222692806963
2009,Prophet,752.9974736306535,674,78.99747363065353
2010,Naïve Forecast,674.0,670,4.0
2010,Linear Regression,770.3333333333285,670,100.33333333332848
2010,"ARIMA(1,1,1)",709.349858342886,670,39.34985834288602
2010,Exponential Smoothing,770.3364951932157,670,100.33649519321568
2010,Prophet,770.2024308205227,670,100.20243082052275
2011,Naïve Forecast,670.0,677,7.0
2011,Linear Regression,778.4909090909205,677,101.49090909092047
2011,"ARIMA(1,1,1)",639.5069223162882,677,37.49307768371182
2011,Exponential Smoothing,778.4988730508799,677,101.49887305087987
2011,Prophet,778.4445737354015,677,101.44457373540149
2012,Naïve Forecast,677.0,671,6.0
2012,Linear Regression,784.7424242424167,671,113.74242424241675
2012,"ARIMA(1,1,1)",703.4985631747999,671,32.49856317479987
2012,Exponential Smoothing,784.7565373337003,671,113.7565373337003
2012,Prophet,784.8999120263454,671,113.89991202634542
2013,Naïve Forecast,671.0,669,2.0
2013,Linear Regression,785.923076923078,669,116.92307692307804
2013,"ARIMA(1,1,1)",647.6833339241272,669,21.31666607587283
2013,Exponential Smoothing,714.223196222971,669,45.223196222970955
2013,Prophet,785.9572879089606,669,116.95728790896055
2014,Naïve Forecast,669.0,678,9.0
2014,Linear Regression,784.9450549450557,678,106.94505494505574
2014,"ARIMA(1,1,1)",690.6019616927933,678,12.601961692793338
2014,Exponential Smoothing,663.3193065237623,678,14.680693476237707
2014,Prophet,784.7891648933723,678,106.78916489337234
2015,Naïve Forecast,678.0,733,55.0
2015,Linear Regression,785.5142857142855,733,52.514285714285506
2015,"ARIMA(1,1,1)",657.1553227641325,733,75.8446772358675
2015,Exponential Smoothing,675.7347875356791,733,57.26521246432094
2015,Prophet,784.1984209665679,733,51.19842096656794
2016,Naïve Forecast,733.0,792,59.0
2016,Linear Regression,798.8000000000029,792,6.80000000000291
2016,"ARIMA(1,1,1)",730.6900713393377,792,61.30992866066231
2016,Exponential Smoothing,752.7251555980307,792,39.27484440196929
2016,Prophet,798.8325083294962,792,6.83250832949625
2017,Naïve Forecast,792.0,793,1.0
2017,Linear Regression,822.4558823529369,793,29.455882352936896
2017,"ARIMA(1,1,1)",813.1794552974641,793,20.179455297464074
2017,Exponential Smoothing,810.7257750749418,793,17.725775074941794
2017,Prophet,822.0743132332357,793,29.07431323323567
2018,Naïve Forecast,793.0,819,26.0
2018,Linear Regression,841.0326797385642,819,22.032679738564184
2018,"ARIMA(1,1,1)",812.9218172789639,819,6.078182721036114
2018,Exponential Smoothing,823.7309091359916,819,4.730909135991624
2018,Prophet,841.0892530736633,819,22.089253073663258
2019,Naïve Forecast,819.0,808,11.0
2019,Linear Regression,861.0,808,53.0
2019,"ARIMA(1,1,1)",839.6135003090046,808,31.61350030900462
2019,Exponential Smoothing,846.4118624236645,808,38.4118624236645
2019,Prophet,861.1226026845118,808,53.122602684511776
2020,Naïve Forecast,808.0,415,393.0
2020,Linear Regression,874.6578947368471,415,459.6578947368471
2020,"ARIMA(1,1,1)",826.664874533888,415,411.664874533888
2020,Exponential Smoothing,841.5082662649995,415,426.5082662649995
2020,Prophet,874.5390665963828,415,459.5390665963828
2021,Naïve Forecast,415.0,663,248.0
2021,Linear Regression,810.6047619047677,663,147.60476190476766
2021,"ARIMA(1,1,1)",422.22555922576504,663,240.77444077423496
2021,Exponential Smoothing,414.95704313400614,663,248.04295686599386
2021,Prophet,810.5560312015017,663,147.5560312015017
2022,Naïve Forecast,663.0,791,128.0
2022,Linear Regression,801.2987012986996,791,10.298701298699598
2022,"ARIMA(1,1,1)",546.8199411996566,791,244.18005880034343
2022,Exponential Smoothing,648.0177649329471,791,142.9822350670529
2022,Prophet,801.2616779065165,791,10.261677906516525
2023,Naïve Forecast,791.0,926,135.0
2023,Linear Regression,815.2885375494043,926,110.71146245059572
2023,"ARIMA(1,1,1)",744.2039961801706,926,181.79600381982937
2023,Exponential Smoothing,689.8942222418034,926,236.1057777581966
2023,Prophet,814.8386944185319,926,111.16130558146813
2024,Naïve Forecast,926.0,855,71.0
2024,Linear Regression,849.4094202898559,855,5.590579710144084
2024,"ARIMA(1,1,1)",874.7478358696527,855,19.747835869652704
2024,Exponential Smoothing,888.5999646026462,855,33.599964602646196
2024,Prophet,850.494336729724,855,4.505663270276045
