Year,Model,Predicted,Actual,RMSE
2001,Naïve Forecast,60.0,62,2.0
2001,Linear Regression,60.0,62,2.0
2001,"ARIMA(1,1,1)",60.0,62,2.0
2001,Exponential Smoothing,,62,
2001,Prophet,,62,
2002,Naïve Forecast,62.0,122,60.0
2002,Linear Regression,64.0,122,58.0
2002,"ARIMA(1,1,1)",,122,
2002,Exponential Smoothing,63.99960956194578,122,58.00039043805422
2002,Prophet,63.99999897600001,122,58.00000102399999
2003,Naïve Forecast,122.0,120,2.0
2003,Linear Regression,143.33333333333576,120,23.33333333333576
2003,"ARIMA(1,1,1)",122.05398094107508,120,2.053980941075082
2003,Exponential Smoothing,143.33385871673823,120,23.333858716738234
2003,Prophet,143.28893888060168,120,23.288938880601677
2004,Naïve Forecast,120.0,126,6.0
2004,Linear Regression,151.0,126,25.0
2004,"ARIMA(1,1,1)",119.99992763392,126,6.000072366080005
2004,Exponential Smoothing,150.99999985495063,126,24.99999985495063
2004,Prophet,151.0576741458994,126,25.057674145899398
2005,Naïve Forecast,126.0,156,30.0
2005,Linear Regression,155.0,156,1.0
2005,"ARIMA(1,1,1)",122.44088534013999,156,33.559114659860015
2005,Exponential Smoothing,155.00000017225096,156,0.9999998277490363
2005,Prophet,154.97660812031882,156,1.023391879681185
2006,Naïve Forecast,156.0,171,15.0
2006,Linear Regression,174.66666666666424,171,3.6666666666642413
2006,"ARIMA(1,1,1)",153.76610099201116,171,17.23389900798884
2006,Exponential Smoothing,174.66666545828306,171,3.666665458283063
2006,Prophet,174.6343626767549,171,3.634362676754904
2007,Naïve Forecast,171.0,210,39.0
2007,Linear Regression,191.7142857142826,210,18.285714285717404
2007,"ARIMA(1,1,1)",184.60249766705607,210,25.39750233294393
2007,Exponential Smoothing,191.71422860899978,210,18.285771391000225
2007,Prophet,191.61763698481607,210,18.382363015183927
2008,Naïve Forecast,210.0,390,180.0
2008,Linear Regression,219.60714285714494,390,170.39285714285506
2008,"ARIMA(1,1,1)",228.01254723916767,390,161.98745276083233
2008,Exponential Smoothing,219.60717018140514,390,170.39282981859486
2008,Prophet,219.54761341460056,390,170.45238658539944
2009,Naïve Forecast,390.0,334,56.0
2009,Linear Regression,315.61111111111677,334,18.38888888888323
2009,"ARIMA(1,1,1)",520.5264876427195,334,186.52648764271953
2009,Exponential Smoothing,504.4271130766755,334,170.42711307667548
2009,Prophet,315.44404305313867,334,18.55595694686133
2010,Naïve Forecast,334.0,334,0.0
2010,Linear Regression,354.59999999999127,334,20.59999999999127
2010,"ARIMA(1,1,1)",343.9703175492615,334,9.970317549261495
2010,Exponential Smoothing,354.6426490950889,334,20.642649095088927
2010,Prophet,354.47367123051765,334,20.473671230517652
2011,Naïve Forecast,334.0,383,49.0
2011,Linear Regression,379.74545454545296,383,3.254545454547042
2011,"ARIMA(1,1,1)",325.14589627710194,383,57.85410372289806
2011,Exponential Smoothing,379.7012727018495,383,3.2987272981504816
